191.09	-14.04
191.47	-14.04
191.84	-14.04
192.21	-32.77
192.58	-42.13
192.96	-9.36
193.33	56.17
193.70	-35.11
194.07	-46.81
194.45	2.34
194.82	-77.24
195.19	-7.02
195.56	77.24
195.93	4.68
196.31	-112.35
196.68	-9.36
197.05	-102.98
197.42	-49.15
197.80	-4.68
198.17	-4.68
198.54	18.72
198.91	-23.41
199.28	-23.41
199.66	93.62
200.03	-42.13
200.40	25.75
200.77	65.54
201.14	-7.02
201.52	-11.70
201.89	-58.51
202.26	-44.47
202.63	-16.38
203.00	4.68
203.38	35.11
203.75	-70.22
204.12	-7.02
204.49	-49.15
204.86	-46.81
205.24	-77.24
205.61	-42.13
205.98	-44.47
206.35	44.47
206.72	14.04
207.09	30.43
207.47	-84.26
207.84	21.06
208.21	-23.41
208.58	18.72
208.95	-42.13
209.32	30.43
209.70	-9.36
210.07	-25.75
210.44	14.04
210.81	112.35
211.18	-88.94
211.55	-60.85
211.93	-49.15
212.30	-58.51
212.67	-81.92
213.04	21.06
213.41	-35.11
213.78	-42.13
214.15	49.15
214.53	21.06
214.90	39.79
215.27	58.51
215.64	-2.34
216.01	-35.11
216.38	-32.77
216.75	-86.60
217.13	-32.77
217.50	-25.75
217.87	9.36
218.24	-21.06
218.61	93.62
218.98	-58.51
219.35	74.90
219.72	-58.51
220.10	-79.58
220.47	-95.96
220.84	-37.45
221.21	-114.69
221.58	21.06
221.95	-95.96
222.32	-39.79
222.69	-142.77
223.06	-32.77
223.44	39.79
223.81	70.22
224.18	18.72
224.55	-11.70
224.92	-16.38
225.29	-72.56
225.66	56.17
226.03	-16.38
226.40	-95.96
226.77	-114.69
227.14	-23.41
227.52	14.04
227.89	-60.85
228.26	98.30
228.63	25.75
229.00	-7.02
229.37	18.72
229.74	44.47
230.11	2.34
230.48	-121.71
230.85	18.72
231.22	95.96
231.59	14.04
231.96	-21.06
232.33	-159.16
232.71	18.72
233.08	-53.83
233.45	32.77
233.82	11.70
234.19	18.72
234.56	-28.09
234.93	-37.45
235.30	21.06
235.67	-25.75
236.04	-63.19
236.41	44.47
236.78	9.36
237.15	65.54
237.52	-65.53
237.89	4.68
238.26	-77.24
238.63	63.19
239.00	2.34
239.37	11.70
239.74	2.34
240.11	-9.36
240.48	-16.38
240.85	-4.68
241.22	21.06
241.59	-53.83
241.96	-21.06
242.33	-2.34
242.70	21.06
243.07	-74.90
243.44	4.68
243.81	114.69
244.18	44.47
244.55	-60.85
244.92	-16.38
245.29	11.70
245.66	46.81
246.03	16.38
246.40	-74.90
246.77	-37.45
247.14	18.72
247.51	-77.24
247.88	32.77
248.25	-49.15
248.62	-9.36
248.99	-110.01
249.36	-81.92
249.73	58.51
250.10	-65.53
250.47	35.11
250.84	23.41
251.21	-9.36
251.58	-49.15
251.95	7.02
252.32	49.15
252.69	-88.94
253.06	56.17
253.43	53.83
253.80	-16.38
254.17	-35.11
254.54	-2.34
254.91	72.56
255.28	-60.85
255.65	9.36
256.02	-39.79
256.39	51.49
256.75	100.64
257.12	-53.83
257.49	-18.72
257.86	-25.75
258.23	35.11
258.60	-44.47
258.97	9.36
259.34	128.73
259.71	18.72
260.08	53.83
260.45	-4.68
260.82	88.94
261.19	-32.77
261.55	-2.34
261.92	-32.77
262.29	42.13
262.66	49.15
263.03	102.98
263.40	21.06
263.77	28.09
264.14	-9.36
264.51	98.30
264.88	-46.81
265.25	2.34
265.61	-88.94
265.98	-79.58
266.35	-23.41
266.72	39.79
267.09	93.62
267.46	18.72
267.83	-30.43
268.20	7.02
268.56	-18.72
268.93	-65.53
269.30	-46.81
269.67	-53.83
270.04	51.49
270.41	-58.51
270.78	-131.07
271.15	0.00
271.51	2.34
271.88	-18.72
272.25	77.24
272.62	4.68
272.99	51.49
273.36	58.51
273.73	23.41
274.09	14.04
274.46	21.06
274.83	-7.02
275.20	-16.38
275.57	28.09
275.94	28.09
276.30	56.17
276.67	-51.49
277.04	-39.79
277.41	-88.94
277.78	-67.88
278.15	23.41
278.51	32.77
278.88	32.77
279.25	-63.19
279.62	-2.34
279.99	-4.68
280.35	-18.72
280.72	2.34
281.09	-51.49
281.46	-21.06
281.83	49.15
282.19	98.30
282.56	46.81
282.93	74.90
283.30	30.43
283.67	-67.88
284.03	63.19
